,site_no,station_nm,dec_lat_va,dec_long_va,huc_cd,tz_cd,flow,flow_unit,flow_dt,stage,stage_unit,stage_dt,flow_chg,flow_chg_percent,stage_chg,stage_chg_percent,USGSstationID,location name,proximity,river/water-body name,nws shef id,location type,usgs id,latitude,longitude,wfo,rfc,state,county,wrr,timezone,inundation,elevation,action stage,flood stage,moderate flood stage,major flood stage,flood stage unit,coeid,hydrograph page,pedts,in service,hemisphere,low water threshold value / units,forecast status,display low water impacts,low flow display,give data attribution,attribution wording,fema wms,probabilistic site,weekly chance probabilistic enabled,short-term probabilistic enabled,chance of exceeding probabilistic enabled,nrldb vertical datum name,nrldb vertical datum,navd88 vertical datum,ngvd29 vertical datum,msl vertical datum,other vertical datum,site_no_shift,stage_chg_percent_shift,river/water-body name_shift
5815,9512450.0,"AGUA FRIA RIVER NEAR HUMBOLDT, AZ",34.4853,-112.238,15070102.0,MST,7.01,cfs,2022-08-14 15:00:00,-1.5,ft,2022-08-14 15:00:00,5.54,376.87,0.37,-19.79,9512450.0,Humboldt,near,Agua Fria River,afha3,River Stage/Flow Location,9512450.0,34.485278,112.2375,fgz,cbrfc,az,25.0,Lower Colorado Region,MST7,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fgz&gage=afha3,hgirg,Yes,W,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,No,No,,,,NAVD88,4400.0,,,,,9512800.0,-1.2,Agua Fria River
5817,9512800.0,"AGUA FRIA RIVER NEAR ROCK SPRINGS, AZ",34.0156,-112.168,15070102.0,MST,21.8,cfs,2022-08-14 15:30:00,3.28,ft,2022-08-14 15:30:00,-2.3,-9.54,-0.04,-1.2,9512800.0,Rock Springs,near,Agua Fria River,afra3,River Stage/Flow Location,9512800.0,34.015556,112.167938,psr,cbrfc,az,0.0,Lower Colorado Region,MST7,No,,15.0,16.0,19.0,24.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=psr&gage=afra3,hgirg,Yes,W,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,No,No,,,,NGVD29,1800.0,,,,1800 ft,2227270.0,-0.6,Alabaha River
1328,2227270.0,"ALABAHA RIVER AT GA 203, NEAR BLACKSHEAR, GA",31.3756,-82.2886,3070201.0,EST,1.42,cfs,2022-08-14 18:30:00,1.65,ft,2022-08-14 18:30:00,-0.05,-3.4,-0.01,-0.6,2227270.0,GA Highway 203 near Blackshear,at,Alabaha River,abag1,River Stage/Flow Location,2227270.0,31.375278,82.288889,jax,serfc,ga,229.0,South Atlantic-Gulf Region,EST,No,,7.0,9.0,12.0,14.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=jax&gage=abag1,hgirg,Yes,W,1.2 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,,82.6,82.6,,,,2419988.0,0.53,Alabama River
1700,2419988.0,ALABAMA RIVER AT MONTGOMERY AL,32.3922,-86.3154,3150201.0,CST,0,,0000-00-00 00:00:00,22.9,ft,2022-08-14 17:00:00,,,0.12,0.53,2419988.0,Montgomery,at,Alabama River,mgma1,River Stage/Flow Location,2419988.0,32.392222,86.315278,bmx,serfc,al,0.0,South Atlantic-Gulf Region,CST,No,103.3 ft,26.0,35.0,45.0,53.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=bmx&gage=mgma1,hgirg,Yes,W,-9999 Feet,Year-round,Yes,No,No,US Geological Survey,Yes,Yes,Yes,No,Yes,NAVD88,103.3,,103.3 ft,,,2421350.0,-0.01,Alabama River
1702,2421350.0,ALABAMA RIVER AT ROBERT F HENRY LOCK AND DAM,32.3251,-86.7847,3150201.0,CST,0,,0000-00-00 00:00:00,125.82,ft,2022-08-14 17:00:00,,,-0.01,-0.01,2421350.0,Henry Lock and Dam,at,Alabama River,tyla1,River Stage/Flow Location,2421350.0,32.322222,86.783889,bmx,serfc,al,0.0,South Atlantic-Gulf Region,CST,No,0 ft,122.0,122.0,132.0,135.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=bmx&gage=tyla1,htirg,Yes,W,-9999 Feet,Year-round,No,No,No,US Geological Survey,Yes,Yes,Yes,No,Yes,NGVD 1929,0.0,,0 ft,,,2427506.0,0.17,Alabama River
1710,2427506.0,ALABAMA RIVER BELOW MILLERS FERRY L&D NR CAMDEN AL,32.1001,-87.3978,3150203.0,CST,0,,0000-00-00 00:00:00,34.75,ft,2022-08-14 17:00:00,,,0.06,0.17,2427506.0,Miller&#039;s Ferry,near,Alabama River,mrfa1,River Stage/Flow Location,2427506.0,32.100145,87.397773,mob,serfc,al,0.0,South Atlantic-Gulf Region,CST,No,0 ft,61.0,66.0,80.0,83.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mob&gage=mrfa1,htirg,Yes,W,0 Feet,Year-round,No,No,No,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD 1929,0.0,,0 ft,,,2428401.0,-1.75,Alabama River
1711,2428401.0,"ALABAMA RIVER BEL CLAIB. L&D NR MONROEVILLE, AL.",31.6135,-87.5505,3150204.0,CST,0,,0000-00-00 00:00:00,10.08,ft,2022-08-14 17:00:00,,,-0.18,-1.75,2428401.0,Claiborne Dam,near,Alabama River,clba1,River Stage/Flow Location,2428401.0,31.613333,87.550556,mob,serfc,al,0.0,South Atlantic-Gulf Region,CST,No,0.00 ft.,35.0,42.0,48.0,52.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mob&gage=clba1,htirg,Yes,W,-9999 Feet,Year-round,No,No,No,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD 1929,0.0,,0.00 ft.,,,2429540.0,54.55,Alabama River
1712,2429540.0,"ALABAMA RIVER AT CHOCTAW BLUFF, AL.",31.3638,-87.765,3150204.0,CST,0,cfs,2022-08-14 03:30:00,-0.17,ft,2022-08-14 17:45:00,,,-0.06,54.55,2429540.0,CHOCTAW BLUFF,near,Alabama River,chba1,River Stage/Flow Location,2429540.0,31.363611,87.765,mob,serfc,al,25.0,Texas-Gulf Region,CST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mob&gage=chba1,hgirg,Yes,W,-9999 Feet,No routine,No,No,No,US Geological Survey,No,No,,,,NAD27,0.0,,,,,2301500.0,-0.26,Alafia River (FL)
1402,2301500.0,"ALAFIA RIVER AT LITHIA PINECREST RD AT LITHIA, FL",27.8722,-82.2112,3100204.0,EST,155,cfs,2022-08-14 18:00:00,3.79,ft,2022-08-14 18:00:00,-1.0,-0.64,-0.01,-0.26,2301500.0,Lithia Pinecrest Road at Lithia,at,Alafia River (FL),litf1,River Stage/Flow Location,2301500.0,27.871944,82.211389,tbw,serfc,fl,57.0,South Atlantic-Gulf Region,EST,Yes,,11.0,13.0,16.0,19.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tbw&gage=litf1,hgirg,Yes,W,-9999 Feet,High Water,No,No,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,NAVD88,6.04,,,,,2301718.0,-10.36,Alafia River (FL)
1403,2301718.0,"ALAFIA RIVER AT US 301 AT RIVERVIEW, FL",27.8693,-82.3265,3100204.0,EST,0,,0000-00-00 00:00:00,2.51,ft,2022-08-14 18:00:00,,,-0.29,-10.36,2301718.0,Riverview near US 301,at,Alafia River (FL),rvwf1,River Stage/Flow Location,2301718.0,27.8675,82.32,tbw,serfc,fl,57.0,South Atlantic-Gulf Region,EST,No,,4.0,4.2,4.8,5.7,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tbw&gage=rvwf1,hgirg,Yes,W,-9999 Feet,High Water,No,No,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,NGVD29,0.0,,,,,11172955.0,2.16,Alameda Creek
6045,11172955.0,ALAMEDA C BL DIV DAM NR SUNOL CA,37.4986,-121.779,18050004.0,PST,0.06,cfs,2022-08-14 15:30:00,3.79,ft,2022-08-14 15:30:00,0.04,200.0,0.08,2.16,11172955.0,Div Dam near Sunol,below,Alameda Creek,acbc1,River Stage/Flow Location,11172955.0,37.498611,121.779444,mtr,cnrfc,ca,1.0,California Region,PST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=acbc1,hgirg,Yes,W,-9999 Feet,No routine,No,No,Yes,US Geological Survey,No,No,,,,NAVD 1988,835.55,835.55 ft,,,,11173510.0,-0.21,Alameda Creek
6049,11173510.0,ALAMEDA C BL CALAVERAS C NR SUNOL CA,37.5035,-121.825,18050004.0,PST,5.9,cfs,2022-08-14 15:00:00,4.68,ft,2022-08-14 15:00:00,-0.34,-5.45,-0.01,-0.21,11173510.0,Calaveras Creek near Sunol,below,Alameda Creek,aczc1,River Stage/Flow Location,11173510.0,37.503547,121.824677,mtr,cnrfc,ca,1.0,California Region,PST,No,430 ft,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=aczc1,hgirg,Yes,W,-9999 Feet,No routine,No,No,Yes,US Geological Survey,No,No,,,,NGVD 1929,430.0,,430 ft,,,11179100.0,-0.24,Alameda Creek
6059,11179100.0,ALAMEDA C NR FREMONT CA,37.5666,-122.002,18050003.0,PST,0,cfs,2022-08-14 15:15:00,4.08,ft,2022-08-14 15:15:00,,,-0.01,-0.24,11179100.0,Fremont,near,Alameda Creek,alfc1,River Stage/Flow Location,11179100.0,37.566602,122.001628,mtr,cnrfc,ca,1.0,California Region,PST,No,48 ft,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=alfc1,hgirg,Yes,W,-9999 Feet,No routine,No,No,Yes,US Geological Survey,No,No,,,,NGVD 1929,48.0,,48 ft,,,2316000.0,0.63,Alapaha River
1420,2316000.0,"ALAPAHA RIVER NEAR ALAPAHA, GA",31.3853,-83.1935,3110202.0,EST,312,cfs,2022-08-14 18:00:00,6.4,ft,2022-08-14 18:00:00,5.0,1.63,0.04,0.63,2316000.0,Alapaha,at,Alapaha River,alag1,River Stage/Flow Location,2316000.0,31.384167,83.1925,tae,serfc,ga,19.0,South Atlantic-Gulf Region,EST,No,,220.0,223.0,226.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=alag1,hgirg,Yes,W,209 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,,0.0,207.6,,,0,2317500.0,-0.25,Alapaha River
1421,2317500.0,"ALAPAHA RIVER AT STATENVILLE, GA",30.7038,-83.0327,3110202.0,EST,577,cfs,2022-08-14 18:45:00,4.07,ft,2022-08-14 18:45:00,-3.0,-0.52,-0.01,-0.25,2317500.0,Statenville,at,Alapaha River,stng1,River Stage/Flow Location,2317500.0,30.703889,83.033333,jax,serfc,ga,101.0,South Atlantic-Gulf Region,EST,No,,90.0,100.0,101.0,103.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=jax&gage=stng1,hgirg,Yes,W,77 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,No,Yes,,,0,,,,2317620.0,-0.03,Alapaha River
1422,2317620.0,ALAPAHA RIVER NEAR JENNINGS FLA,30.5983,-83.0732,3110202.0,EST,816,cfs,2022-08-14 18:00:00,64.5,ft,2022-08-14 18:00:00,-6.0,-0.73,-0.02,-0.03,2317620.0,Jennings (in NAVD88),near,Alapaha River,jnaf1,River Stage/Flow Location,2317620.0,30.598056,83.073333,jax,serfc,fl,47.0,South Atlantic-Gulf Region,EST,No,0.7,77.0,80.0,85.0,88.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=jax&gage=jnaf1,hgirg,Yes,W,61 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,NAVD88,0.0,0,0.7,,,2366996.0,-0.28,Alaqua Creek
1597,2366996.0,"ALAQUA CREEK NEAR PLEASANT RIDGE, FL",30.6691,-86.1866,3140102.0,CST,205,cfs,2022-08-14 17:00:00,49.11,ft,2022-08-14 17:00:00,-11.0,-5.09,-0.14,-0.28,2366996.0,Pleasant Ridge at Nelson Road,near,Alaqua Creek,alqf1,River Stage/Flow Location,2366996.0,30.668889,86.186667,tae,serfc,fl,131.0,South Atlantic-Gulf Region,CST,No,,51.0,54.0,58.0,61.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=alqf1,hgirg,Yes,W,47 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,NGVD29,60.0,,,,,1011000.0,-0.29,Allagash River
3,1011000.0,"Allagash River near Allagash, Maine",47.0697,-69.0794,1010002.0,EST,1700,cfs,2022-08-14 18:00:00,3.45,ft,2022-08-14 18:00:00,-20.0,-1.16,-0.01,-0.29,1011000.0,Allagash,above,Allagash River,allm1,River Stage/Flow Location,1011000.0,47.069722,69.079444,car,nerfc,me,3.0,New England Region,EST,No,604.6 ft,12.0,15.0,17.0,19.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=car&gage=allm1,hgirg,Yes,W,-9999 Feet,High Water,No,No,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,NGVD 29,604.6,,604.6 ft,,,2393419.0,0.2,Allatoona Creek
1670,2393419.0,"ALLATOONA CREEK AT STILESBORO RD, NEAR ACWORTH, GA",33.9953,-84.6931,3150104.0,EST,5.31,cfs,2022-08-14 18:15:00,4.93,ft,2022-08-14 18:15:00,0.2,3.91,0.01,0.2,2393419.0,Stilesboro Road near Acworth,at,Allatoona Creek,mahg1,Stage/Flow and Precipitation Location,2393419.0,33.995278,84.693056,ffc,serfc,ga,67.0,South Atlantic-Gulf Region,EST,No,,11.0,13.0,18.0,23.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=mahg1,hgirg,Yes,W,-9999 Feet,Data Point,Yes,No,Yes,US Geological Survey,Yes,No,,,,NAVD88,865.4,865.4 ft,,,,3010820.0,1.32,Allegheny River
1833,3010820.0,ALLEGHENY RIVER AT OLEAN NY,42.0731,-78.4511,5010001.0,EST,93.6,cfs,2022-08-14 17:30:00,0.77,ft,2022-08-14 17:30:00,2.7,2.97,0.01,1.32,3010820.0,Olean,at,Allegheny River,olnn6,Stage/Flow and Precipitation Location,3010820.0,42.072222,78.451944,buf,ohrfc,ny,9.0,Ohio Region,EST,No,,10.0,12.0,17.0,23.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=buf&gage=olnn6,hgirg,Yes,W,-9999 Feet,Year-round,No,No,Yes,"USACE Pittsburgh, USGS & Olean",No,Yes,Yes,Yes,Yes,NAVD88,1399.5,1399.50 ft,1399.98 ft,,,3025500.0,0.69,Allegheny River
1859,3025500.0,"Allegheny River at Franklin, PA",41.3895,-79.8203,5010003.0,EST,2300,cfs,2022-08-14 18:00:00,2.92,ft,2022-08-14 18:00:00,40.0,1.77,0.02,0.69,3025500.0,Franklin,at,Allegheny River,frkp1,River Stage/Flow Location,3025500.0,41.389444,79.820556,pbz,ohrfc,pa,121.0,Ohio Region,EST,No,955.84 ft,13.0,17.0,19.0,21.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=frkp1,hgirg,Yes,W,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD 1929,955.84,,955.84 ft,,,3033000.0,-0.09,Allegheny River
1872,3033000.0,"Allegheny River near Rimer, PA",40.9583,-79.5472,5010006.0,EST,0,,0000-00-00 00:00:00,10.96,ft,2022-08-14 18:00:00,,,-0.01,-0.09,3033000.0,Rimer Lock and Dam,at,Allegheny River,rmrp1,River Stage/Flow Location,3033000.0,40.958333,79.547222,pbz,ohrfc,pa,5.0,Ohio Region,EST,No,,14.0,19.0,21.0,23.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=rmrp1,hpirg,Yes,W,-9999 Feet,High Water,No,No,No,US Geological Survey,No,Yes,Yes,Yes,Yes,NGVD29,813.05,,,,813.049987792969 ft,3036150.0,0.21,Allegheny River
1877,3036150.0,"Allegheny River at Lock & Dam 8 nr Templeton, PA",40.8944,-79.4764,5010006.0,EST,0,,0000-00-00 00:00:00,9.52,ft,2022-08-14 18:45:00,,,0.02,0.21,3036150.0,Mosgrove Lock and Dam,at,Allegheny River,mosp1,River Stage/Flow Location,3036150.0,40.894444,79.476389,pbz,ohrfc,pa,5.0,Ohio Region,EST,No,,14.0,19.0,21.0,24.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=mosp1,hpirg,Yes,W,-9999 Feet,High Water,No,No,No,US Geological Survey,No,Yes,Yes,Yes,Yes,NGVD29,791.0,,,,791 ft,3039035.0,0.1,Allegheny River
1882,3039035.0,"Allegheny River at Lock & Dam 6 at Clinton, PA",40.7167,-79.5811,5010006.0,EST,0,,0000-00-00 00:00:00,9.83,ft,2022-08-14 18:00:00,,,0.01,0.1,3039035.0,Clinton Lock and Dam,at,Allegheny River,clnp1,River Stage/Flow Location,3039035.0,40.716667,79.581111,pbz,ohrfc,pa,5.0,Ohio Region,EST,No,760.4,17.0,21.0,22.0,24.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=clnp1,hpirg,Yes,W,-9999 Feet,Year-round,No,No,No,US Geological Survey,No,Yes,Yes,Yes,Yes,NGVD29,760.4,,760.4,,,3039040.0,0.1,Allegheny River
1883,3039040.0,"Allegheny River at Lock & Dam 5 near Freeport, PA",40.6847,-79.6675,5010006.0,EST,0,,0000-00-00 00:00:00,9.7,ft,2022-08-14 18:30:00,,,0.01,0.1,3039040.0,Freeport Lock and Dam,at,Allegheny River,frep1,River Stage/Flow Location,3039040.0,40.684722,79.6675,pbz,ohrfc,pa,5.0,Ohio Region,EST,No,747.81 ft,16.0,23.0,24.0,26.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=frep1,hpirg,Yes,W,-9999 Feet,High Water,No,No,No,US Geological Survey,No,Yes,Yes,Yes,Yes,NGVD29,747.81,,747.81 ft,,,3049500.0,0.2,Allegheny River
1899,3049500.0,"Allegheny River at Natrona, PA",40.6153,-79.7184,5010009.0,EST,3080,cfs,2022-08-14 18:15:00,10.17,ft,2022-08-14 18:15:00,110.0,3.7,0.02,0.2,3049500.0,Natrona Lock and Dam,at,Allegheny River,natp1,River Stage/Flow Location,3049500.0,40.615278,79.718611,pbz,ohrfc,pa,129.0,Ohio Region,EST,No,736.04 ft,17.2,21.0,24.0,26.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=natp1,hpirg,Yes,W,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD29,736.36,,736.04 ft,,,3049640.0,0.31,Allegheny River
1900,3049640.0,"Allegheny R at CW Bill Young L&D  at Acmetonia, PA",40.5362,-79.8148,5010009.0,EST,0,,0000-00-00 00:00:00,9.81,ft,2022-08-14 18:45:00,,,0.03,0.31,3049640.0,C.W. Bill Young Lock and Dam,at,Allegheny River,acmp1,River Stage/Flow Location,3049640.0,40.536111,79.815,pbz,ohrfc,pa,3.0,Ohio Region,EST,No,725.52,15.0,17.0,20.0,23.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=acmp1,hpirg,Yes,W,-9999 Feet,Year-round,No,No,Yes,US Army Corps of Engineers,Yes,Yes,Yes,Yes,Yes,NGVD29,725.52,725.8,725.52,,740,3049680.0,-0.7,Allegheny River
1901,3049680.0,"Allegheny R at Lock & Dam 2 at Aspinwall, PA",40.4875,-79.915,5010009.0,EST,0,,0000-00-00 00:00:00,9.96,ft,2022-08-14 18:30:00,,,-0.07,-0.7,3049680.0,Sharpsburg Lock and Dam,at,Allegheny River,shrp1,River Stage/Flow Location,3049680.0,40.4875,79.915278,pbz,ohrfc,pa,3.0,Ohio Region,EST,No,,16.3,21.0,22.0,23.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=shrp1,hpirg,Yes,W,-9999 Feet,Year-round,No,No,No,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD29,711.96,,,,711.960021972656 ft,2079640.0,-0.31,Allen Creek
