,site_no,station_nm,dec_lat_va,dec_long_va,huc_cd,tz_cd,flow,flow_unit,flow_dt,stage,stage_unit,stage_dt,flow_chg,flow_chg_percent,stage_chg,stage_chg_percent,USGSstationID,location name,proximity,river/water-body name,nws shef id,location type,usgs id,latitude,longitude,wfo,rfc,state,county,wrr,timezone,inundation,elevation,action stage,flood stage,moderate flood stage,major flood stage,flood stage unit,coeid,hydrograph page,pedts,in service,hemisphere,low water threshold value / units,forecast status,display low water impacts,low flow display,give data attribution,attribution wording,fema wms,probabilistic site,weekly chance probabilistic enabled,short-term probabilistic enabled,chance of exceeding probabilistic enabled,nrldb vertical datum name,nrldb vertical datum,navd88 vertical datum,ngvd29 vertical datum,msl vertical datum,other vertical datum,site_no_shift,stage_chg_percent_shift,river/water-body name_shift,jam_status
734,1619000.0,"ANTIETAM CREEK NEAR WAYNESBORO, PA",39.7163,-77.6066,2070004.0,EST,36.4,cfs,2022-08-14 18:45:00,2.29,ft,2022-08-14 18:45:00,4.6,14.47,0.04,1.78,1619000.0,Waynesboro,near,Antietam Creek,wanp1,River Stage/Flow Location,1619000.0,39.716389,77.606667,lwx,marfc,md,,Mid Atlantic Region,EST,No,,5.5,6.5,10.0,12.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=wanp1,hgirg,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,,,,NAVD88,536.15,,,,,1619500.0,-0.4,Antietam Creek,jam
857,2039500.0,"APPOMATTOX RIVER AT FARMVILLE, VA",37.3071,-78.3886,2080207.0,EST,60.1,cfs,2022-08-14 18:50:00,3.99,ft,2022-08-14 18:50:00,1.7,2.91,0.02,0.5,2039500.0,Farmville,at,Appomattox River,frmv2,River Stage/Flow Location,2039500.0,37.306944,78.388889,akq,marfc,va,49.0,Mid Atlantic Region,EST,No,281.93 ft,12.0,16.0,20.0,25.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=akq&gage=frmv2,hgirg,Yes,W,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88   ,280.94,280.94,281.93 ft,,,2040000.0,-0.14,Appomattox River,jam
4601,7138000.0,"ARKANSAS R AT SYRACUSE, KS",37.9661,-101.757,11030001.0,CST,30.1,cfs,2022-08-14 17:15:00,3.62,ft,2022-08-14 17:15:00,1.12,3.9,0.02,0.56,7138000.0,Syracuse,at,Arkansas River,syrk1,River Stage/Flow Location,7138000.0,37.966667,101.756389,ddc,abrfc,ks,75.0,Arkansas-White-Red Region,MST,No,3209.32 ft,9.0,10.0,12.0,14.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ddc&gage=syrk1,hgirg,Yes,W,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD29,3209.32,,3209.32 ft,,,7138020.0,-0.2,Arkansas River,jam
4605,7139500.0,"ARKANSAS R AT DODGE CITY, KS",37.7447,-100.033,11030003.0,CST,0,,0000-00-00 00:00:00,7.26,ft,2022-08-14 17:00:00,,,0.01,0.14,7139500.0,Dodge City,at,Arkansas River,ddck1,River Stage/Flow Location,7139500.0,37.744444,100.032778,ddc,abrfc,ks,57.0,Arkansas-White-Red Region,CST,No,2468.71,10.0,11.0,13.0,15.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ddc&gage=ddck1,hgirg,Yes,W,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,2469.64,2469.64 ft,2468.71,,,7141300.0,-3.33,Arkansas River,jam
4628,7144570.0,"ARKANSAS R AT MULVANE, KS",37.4755,-97.2616,11030013.0,CST,157,cfs,2022-08-14 17:15:00,5.16,ft,2022-08-14 17:15:00,4.0,2.61,0.01,0.19,7144570.0,Mulvane,near,Arkansas River,mulk1,River Stage/Flow Location,7144570.0,37.4755,97.2613,ict,abrfc,ks,191.0,Arkansas-White-Red Region,CST,No,1203.48 ft,15.0,16.5,19.0,21.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ict&gage=mulk1,hgirg,Yes,W,-9999 Feet,High Water,No,No,No,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,1203.74,1203.74 ft,1203.48 ft,,1203.48 ft,7146500.0,-0.32,Arkansas River,jam
4779,7260800.0,"Arkansas River near Morrilton, AR",35.1269,-92.7317,11110203.0,CST,0,,0000-00-00 00:00:00,9.93,ft,2022-08-14 17:15:00,,,0.38,3.98,7260800.0,Morrilton,at,Arkansas River,mora4,River Stage/Flow Location,7260800.0,35.126944,92.731667,lzk,abrfc,ar,0.0,Arkansas-White-Red Region,CST,No,255.96 ft,29.0,30.0,34.0,38.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lzk&gage=mora4,hgirg,Yes,W,-9999 Feet,Year-round,No,No,Yes,US Army Corps of Engineers LRD,Yes,Yes,Yes,Yes,Yes,NAVD88,255.96,,255.96 ft,,,7263500.0,-0.27,Arkansas River,jam
4782,7263650.0,"Arkansas River at Pine Bluff, AR",34.2903,-91.9956,11110207.0,CST,0,,0000-00-00 00:00:00,31.41,ft,2022-08-14 17:00:00,,,0.26,0.83,7263650.0,Pine Bluff,at,Arkansas River,pbfa4,River Stage/Flow Location,7263650.0,34.288611,91.994722,lzk,abrfc,ar,0.0,Arkansas-White-Red Region,CST,No,164.71 ft,40.0,42.0,44.0,45.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lzk&gage=pbfa4,hgirg,Yes,W,-9999 Feet,Year-round,No,No,Yes,US Army Corps of Engineers LRD,Yes,Yes,Yes,Yes,Yes,NGVD 1929,164.71,,164.71 ft,,,7265280.0,-0.04,Arkansas River,jam
2978,4191058.0,Little Auglaize River at Melrose OH,41.0919,-84.4075,4100007.0,EST,345,cfs,2022-08-14 18:00:00,13.77,ft,2022-08-14 18:00:00,23.0,7.14,0.07,0.51,4191058.0,Melrose OH,at,Auglaize River,mreo1,River Stage/Flow Location,4191058.0,41.091944,84.4075,iwx,ohrfc,oh,125.0,Great Lakes Region,EST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=iwx&gage=mreo1,hgirz,Yes,W,-9999 Feet,Data Point,No,No,Yes,USGS (04191058),Yes,No,,,,NAVD88,674.23,674.23,,,,4191500.0,-0.47,Auglaize River,jam
5020,7380238.0,"Naomi Diversion Canal near Naomi, LA",29.6991,-89.9889,8090301.0,CST,0,,0000-00-00 00:00:00,3,ft,2022-08-14 17:30:00,,,0.02,0.67,7380238.0,Naomi Diversion Canal near Naomi,at,Barataria Bay and Waterway,naol1,River Stage/Flow Location,7380238.0,29.699167,89.988889,lix,lmrfc,la,75.0,Lower Mississippi Region,CST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=naol1,hgirg,Yes,W,-9999 Feet,No routine,No,No,Yes,US Geological Survey,No,No,,,,NAVD88,,,,,,7380249.0,-3.34,Barataria Bay and Waterway,jam
4043,6466400.0,"Bazile Creek at Center, Nebr",42.6157,-97.8781,10170101.0,CST,19.8,cfs,2022-08-14 17:00:00,9.42,ft,2022-08-14 17:00:00,1.3,7.03,0.02,0.21,6466400.0,Center,at,Bazile Creek,cbcn1,River Stage/Flow Location,6466400.0,42.6164,97.8781,oax,mbrfc,ne,107.0,Missouri Region,CST,No,,20.5,22.0,31.0,37.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=oax&gage=cbcn1,hgirg,Yes,W,-9999 Feet,Data Point,No,No,Yes,the USGS (06466400),Yes,No,,,,NGVD29,1363.444,1363.444 ft,,,,6466500.0,-0.65,Bazile Creek,jam
5825,10011500.0,BEAR RIVER NEAR UTAH-WYOMING STATE LINE,40.9652,-110.854,16010101.0,MST,194,cfs,2022-08-14 16:30:00,4.92,ft,2022-08-14 16:30:00,8.0,4.3,0.03,0.61,10011500.0,Utah/Wyoming State Line,near,Bear River,beru1,Stage/Flow and Precipitation Location,10011500.0,40.965225,110.853508,slc,cbrfc,ut,43.0,Great Basin Region,MST,No,,7.7,8.0,9.0,9.5,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=slc&gage=beru1,hgirg,Yes,W,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,No,Yes,Yes,No,Yes,NGVD29,7965.0,,7965 ft,,,10020100.0,-1.32,Bear River,jam
5832,10039500.0,"BEAR RIVER AT BORDER, WY",42.211,-111.054,16010102.0,MST,168,cfs,2022-08-14 16:30:00,1.53,ft,2022-08-14 16:30:00,6.0,3.7,0.03,2.0,10039500.0,Border,at,Bear River,brbw4,River Stage/Flow Location,10039500.0,42.210767,111.053314,pih,cbrfc,id,7.0,Great Basin Region,MST,No,,7.0,7.5,10.5,11.7,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pih&gage=brbw4,hgirg,Yes,W,-9999 Feet,Year-round,Yes,No,Yes,US Geological Survey,No,No,,,,NAVD88,6056.85,,,,,10068500.0,-0.27,Bear River,jam
3853,6166000.0,Beaver Cr bl Guston Coulee nr Saco MT,48.3568,-107.582,10050014.0,MST,17.3,cfs,2022-08-14 16:15:00,1.6,ft,2022-08-14 16:15:00,0.3,1.76,0.01,0.63,6166000.0,Saco,near,Beaver Creek (MT),gscm8,River Stage/Flow Location,6166000.0,48.356944,107.582222,ggw,mbrfc,mt,71.0,Missouri Region,MST,No,2215,9.0,11.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ggw&gage=gscm8,hgirg,Yes,W,-9999 Feet,Data Point,No,No,No,US Geological Survey,No,No,,,,,2215.0,,2215,,,6167500.0,-0.3,Beaver Creek (MT),jam
3948,6402430.0,"BEAVER CREEK NEAR PRINGLE, SD",43.5814,-103.477,10120109.0,MST,1.58,cfs,2022-08-14 16:45:00,7.77,ft,2022-08-14 16:45:00,0.49,50.52,0.06,0.78,6402430.0,Pringle,near,Beaver Creek (SD),prns2,River Stage/Flow Location,6402430.0,43.581372,103.476584,unr,mbrfc,sd,33.0,Missouri Region,MST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=unr&gage=prns2,hgirg,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,NAVD88,4182.0,4182,,,,6402500.0,-0.66,Beaver Creek (SD),jam
1805,2485810.0,"BELHAVEN CREEK AT RIVERSIDE DRIVE AT JACKSON, MS",32.3235,-90.1717,3180002.0,CST,0,,0000-00-00 00:00:00,3.62,ft,2022-08-14 17:30:00,,,0.05,1.4,2485810.0,Riverside Drive/Jackson,at,Belhaven Creek,jbrm6,River Stage/Flow Location,2485810.0,32.323528,90.171694,jan,lmrfc,ms,49.0,South Atlantic-Gulf Region,CST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=jan&gage=jbrm6,hgirg,Yes,W,-9999 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,,,,NGVD 1929,,,,,,2485820.0,-2.99,Belhaven Creek,jam
1770,2479945.0,"BIG CREEK AT COUNTY RD 63 NEAR WILMER, AL.",30.856,-88.3339,3170008.0,CST,33.3,cfs,2022-08-14 17:00:00,2.55,ft,2022-08-14 17:00:00,0.3,0.91,0.01,0.39,2479945.0,Wilmer,near,Big Creek (Al),wila1,River Stage/Flow Location,2479945.0,30.855833,88.333889,mob,serfc,al,97.0,Texas-Gulf Region,CST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mob&gage=wila1,hgirg,Yes,W,0 Feet,No routine,No,No,No,US Geological Survey,No,No,,,,NGVD29,125.44,,,,,2480020.0,-0.51,Big Creek (Al),jam
4935,7346080.0,"Big Cypress Ck abv SH 43 nr Karnack, TX",32.7386,-94.2325,11140306.0,CST,64.2,cfs,2022-08-14 17:45:00,4.71,ft,2022-08-14 17:45:00,3.6,5.94,0.02,0.43,7346080.0,Karnack,near,Big Cypress Creek,bgkt2,River Stage/Flow Location,7346080.0,32.738611,94.2325,shv,lmrfc,tx,203.0,Arkansas-White-Red Region,CST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=shv&gage=bgkt2,hgirg,Yes,W,,No routine,No,No,Yes,US Geological Survey,Yes,No,,,,NAVD 1988,163.27,163.272,,,,7346310.0,-0.01,Big Cypress Creek,jam
3775,6025250.0,Big Hole River at Maiden Rock nr Divide MT,45.7013,-112.736,10020004.0,MST,272,cfs,2022-08-14 16:45:00,2.77,ft,2022-08-14 16:45:00,6.0,2.26,0.01,0.36,6025250.0,Maiden Rock near Divide,at,Big Hole River,mrdm8,River Stage/Flow Location,6025250.0,45.701389,112.735833,tfx,mbrfc,mt,1.0,Missouri Region,MST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tfx&gage=mrdm8,hgirg,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,NAVD88,5300.0,,,,,6025500.0,-0.75,Big Hole River,jam
4086,6479525.0,"BIG SIOUX R NEAR CASTLEWOOD,SD",44.7315,-97.0447,10170202.0,CST,75.4,cfs,2022-08-14 17:45:00,5,ft,2022-08-14 17:45:00,0.9,1.21,0.01,0.2,6479525.0,Castlewood,near,Big Sioux River,csws2,River Stage/Flow Location,6479525.0,44.731667,97.044444,abr,mbrfc,sd,57.0,Missouri Region,CST,No,,8.0,9.0,11.0,16.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=abr&gage=csws2,hgirg,Yes,W,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,1668.47,1668.47,,,,6480000.0,-0.43,Big Sioux River,jam
4090,6481000.0,"BIG SIOUX R NEAR DELL RAPIDS,SD",43.7904,-96.7457,10170203.0,CST,145,cfs,2022-08-14 17:30:00,3.27,ft,2022-08-14 17:30:00,4.0,2.84,0.02,0.62,6481000.0,Dell Rapids,near,Big Sioux River,ders2,River Stage/Flow Location,6481000.0,43.790556,96.745278,fsd,mbrfc,sd,99.0,Missouri Region,CST,No,,11.0,12.0,14.0,15.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fsd&gage=ders2,hgirg,Yes,W,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,1456.89,1456.89,,,,6481400.0,-2.78,Big Sioux River,jam
3897,6287800.0,"Bighorn River at bridge, at St. Xavier, MT",45.4608,-107.749,10080015.0,MST,2340,cfs,2022-08-14 16:30:00,6.06,ft,2022-08-14 16:30:00,10.0,0.43,0.01,0.17,6287800.0,ST. Xavier Bridge,at,Bighorn River,sxvm8,River Stage/Flow Location,6287800.0,45.4608,107.7486,byz,mbrfc,mt,3.0,Missouri Region,MST,No,3030,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=byz&gage=sxvm8,hgirz,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,NAVD 1988,3030.0,,3030,,,6294500.0,-0.66,Bighorn River,jam
1066,2136030.0,"BLACK RIVER NEAR ANDREWS,SC",33.4904,-79.5456,3040205.0,EST,400,cfs,2022-07-27 08:15:00,19.2,ft,2022-08-14 18:00:00,,,0.01,0.05,2136030.0,Andrews,near,Black River,adrs1,River Stage/Flow Location,2136030.0,33.490278,79.544833,ilm,serfc,sc,43.0,South Atlantic-Gulf Region,EST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ilm&gage=adrs1,hgirg,Yes,W,0 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,,,,,,,,,,4200500.0,-2.3,Black River,jam
3110,4260500.0,BLACK RIVER AT WATERTOWN NY,43.9858,-75.9246,4150101.0,EST,1450,cfs,2022-08-14 17:30:00,2.97,ft,2022-08-14 17:30:00,20.0,1.4,0.02,0.68,4260500.0,Watertown,at,Black River,artn6,Stage/Flow and Precipitation Location,4260500.0,43.985556,75.924722,buf,nerfc,ny,45.0,Great Lakes Region,EST,No,,8.0,10.0,12.0,14.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=buf&gage=artn6,hgirg,Yes,W,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,NAVD 1988,374.09,374.09 ft,373.88 ft,,,7064000.0,-0.78,Black River,jam
1733,2462952.0,BLACK WARRIOR RIVER BELOW HOLT L&D NEAR HOLT AL,33.2529,-87.4514,3160112.0,CST,0,,0000-00-00 00:00:00,123.03,ft,2022-08-14 17:45:00,,,0.08,0.07,2462952.0,Holt Lock and Dam,at,Black Warrior River,tcla1,River Stage/Flow Location,2462952.0,33.252778,87.451389,bmx,serfc,al,0.0,South Atlantic-Gulf Region,CST,No,0 ft,138.0,140.0,148.0,158.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=bmx&gage=tcla1,htirz,Yes,W,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,No,Yes,NGVD 1929,0.0,,0 ft,,,2465000.0,-0.41,Black Warrior River,jam
2974,4189131.0,Blanchard River at Gilboa OH,41.0153,-83.9189,4100008.0,EST,62,cfs,2022-08-14 18:45:00,4.29,ft,2022-08-14 18:45:00,1.4,2.31,0.01,0.23,4189131.0,Gilboa,at,Blanchard River,gilo1,Stage/Flow and Precipitation Location,4189131.0,41.015278,83.918889,iwx,ohrfc,oh,137.0,Great Lakes Region,EST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=iwx&gage=gilo1,hgirg,Yes,W,-9999 Feet,Data Point,No,No,Yes,the USGS (04189131),Yes,No,,,,NAVD88,723.82,723.82,,,,4190000.0,-0.17,Blanchard River,jam
4385,6893510.0,"Blue River at Highway 71, Kansas City, Mo",38.9719,-94.5478,10300101.0,CST,0,,0000-00-00 00:00:00,2.17,ft,2022-08-14 16:17:00,,,0.05,2.44,6893510.0,71 Highway,at,Blue River,knym7,River Stage/Flow Location,6893510.0,38.971944,94.547778,eax,mbrfc,mo,95.0,Missouri Region,CST,No,,22.0,27.0,36.0,38.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=eax&gage=knym7,hgirr,Yes,W,-9999 Feet,High Water,No,No,No,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,751.157,751.157 ft,,,,6893578.0,-0.18,Blue River,jam
4897,7332348.0,"Blue River North of Connerville, OK",34.4544,-96.6356,11140102.0,CST,30.6,cfs,2022-08-14 17:30:00,2.63,ft,2022-08-14 17:30:00,1.2,4.08,0.01,0.38,7332348.0,Connerville,at,Blue River (OK),cnbo2,River Stage/Flow Location,7332348.0,34.454419,96.635639,oun,abrfc,ok,69.0,Arkansas-White-Red Region,CST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=oun&gage=cnbo2,hgirg,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,,,,NAVD88,,,,,,7332500.0,-0.39,Blue River (OK),jam
1429,2319302.0,"MADISON BLUE SPRING NR BLUE SPRINGS, FL",30.4805,-83.2443,3110203.0,EST,116,cfs,2022-08-14 18:30:00,10.36,ft,2022-08-14 18:45:00,-3.0,-2.52,0.01,0.1,2319302.0,Blue Springs near Madison (in NAVD88),at,Blue Spring,blsf1,River Stage/Flow Location,2319302.0,30.480278,83.244444,tae,serfc,fl,79.0,South Atlantic-Gulf Region,EST,No,,54.0,60.0,65.0,70.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=blsf1,hgirg,Yes,W,40.1 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,,0.0,,,,,2319950.0,-0.05,Blue Spring,jam
